"";"Instituição";"201503";"201603";"201703";"201803"
"2";"Angra dos Reis";871676195,9;908524520,2;886604523;1060661430,27
"3";"Aperibé";38934511,4;37200658,9;40149869,8;49828755,66
"4";"Araruama";260149512,4;269147190;271997672,7;291136651,47
"5";"Areal";46456292,1;49741429,9;51243847,47;57405806,93
"6";"Armação de Búzios";179483252;176292472,8;213045624,58;258893579,91
"7";"Arraial do Cabo";118807187,1;139656763,3;114106292,8;138572216,4
"8";"Barra do Piraí";185893221;195079228,1;196295303,8;230675843,21
"9";"Barra Mansa";390672481,1;425770731,1;419150211,8;482822171,1
"10";"Belford Roxo";541068205,8;554771913,6;547073470,2;638469905,29
"11";"Bom Jardim";68208254,4;69641500,8;72406052,9;84692292,16
"12";"Bom Jesus do Itabapoana";86524642,7;88241390,5;90380493,2;100102058,45
"13";"Cabo Frio";691774631;575386978;753595983,3;836780720,99
"14";"Cachoeiras de Macacu";152472644,5;149576002,86;167833083,5;181938040,07
"15";"Cambuci";46581011,2;48679958,1;50603382,3;60567823,45
"16";"Carapebus";77572239,5;70482570,09;81178392,21;106169553,85
"17";"Comendador Levy Gasparian";35326649,9;34846965,7;37763937,2;44678448,81
"18";"Campos dos Goytacazes";1766595029,4;1547758792;1529795400,26;1864532231,18
"19";"Cantagalo";73072096,6;71513677,5;73602293,4;88179344,48
"20";"Cardoso Moreira";50328768,4;55835245,3;56056932,74;62703470,41
"21";"Casimiro de Abreu";203237751,57;180295256,2;196438046;249824668,32
"22";"Conceição de Macabu";61933830,4;62587370,8;63915811,1;78656277,46
"23";"Duque de Caxias";1860462061,3;1860132326,1;1889991581,2;2211408833,11
"24";"Engenheiro Paulo de Frontin";43300577,5;44207994,2;50090737,44;66468175,04
"25";"Guapimirim";145414393,9;145055435,6;160733077,1;174283507,96
"26";"Iguaba Grande";82275946,6;85972319,8;84255764,2;88628033,82
"27";"Itaboraí";570313670,7;456395134,1;442456957,8;488782574,59
"28";"Itaguaí";497158418,9;446205574,1;414451632,1;463581077,52
"29";"Italva";44161926,84;47121912,55;50229801,37;56934811,02
"30";"Itaocara";56359840,7;57461900,9;61823969,7;72165851,99
"31";"Itaperuna";258322082,2;266750742,9;279473266,7;310069417,15
"32";"Japeri";179082000;179108693,5;179292239,6;196768380,51
"33";"Macaé";2039205822,4;1899869795,4;1807558414,24;2297701258,79
"34";"Macuco";31218329,1;32352818,1;35615150;43059083,67
"35";"Magé";393994848,3;356117967,9;410055171,9;483521194,41
"36";"Mangaratiba";230770859,97;265589195,3;276565165,3;251107964,98
"37";"Maricá";562493805,7;632446545;1136840790,36;1614715287,35
"38";"Mendes";50117092,9;56241232,3;55560609;68305671,69
"39";"Mesquita";225553999,34;238652745,8;265841307,3;261661414,41
"40";"Miguel Pereira";82656777,8;80437311,7;90497758,9;125648134,26
"41";"Nilópolis";234542251,2;239960245,9;247681182;276367028,95
"42";"Niterói";1753928144,4;1870809573,7;2316833022,5;3141769459,38
"43";"Nova Friburgo";403064454,6;388806351,74;409447357,4;460917154,05
"44";"Nova Iguaçu";1048357035,6;1144751562,5;1212579466,2;1326651133,14
"45";"Paracambi";110345293,78;108764751,02;114258259,97;144820690,75
"46";"Paraíba do Sul";103218215,8;99360612,48;102344078,69;97981220,03
"47";"Paraty";187416387,4;188841545,5;197999672,7;270279813,23
"48";"Paty do Alferes";71743750,6;77104566,4;81124113;111403003,78
"49";"Petrópolis";766057757,2;796738976,9;833281693,3;979747426,67
"50";"Pinheiral";58185625,32;66385419,2;68758001,5;87671839,07
"51";"Porciúncula";59970182,6;61425107,2;64251575,3;65903981,44
"52";"Queimados";275780783,3;276128651;272594114,8;318034007,53
"53";"Quissamã";190719131,7;167710200,7;181705404,3;238058998,44
"54";"Resende";421965455,8;445121535;442053020,6;487317099,75
"55";"Rio Bonito";170987275,4;166672742,8;164764535,3;184804413,34
"56";"Rio Claro";70066451,6;72310282,2;74903821,7;84874460,28
"57";"Rio das Flores";42445295,5;40223407;42653697,2;65353301,15
"58";"Rio das Ostras";579244600;506267000;522544200;619337310
"59";"Rio de Janeiro";20127298018,47;20435813987,76;19555621738,74;21193673594,8
"60";"Santa Maria Madalena";50637760;48176072,6;47769209,7;54420341,46
"61";"São Francisco de Itabapoana";107147891,8;114217225,3;114582372,7;126280933,78
"62";"São Fidélis";85050233,8;84989944;90011585,24;103466464,66
"63";"São Gonçalo";937587669,1;912677698,2;952593294;1083377935,74
"64";"São João da Barra";346266361,1;252903198,77;296533399,6;385225131,8
"65";"São João de Meriti";445196515,9;474624347,4;499190394;579718496
"66";"São José de Ubá";32587510,1;35609837,2;35430675,89;44409709,74
"67";"São José do Vale do Rio Preto";59067749,2;58118377,8;60244212,4;75423561,94
"68";"São Pedro da Aldeia";179069468,1;191902356,1;197019617,1;219824789,53
"69";"São Sebastião do Alto";38014231;41872100,6;42583878,2;53158799,53
"70";"Sapucaia";57405687,6;59538947,8;68377414,9;75327570,6
"71";"Saquarema";199544796,7;212636472,42;271037991,78;328902753,43
"72";"Silva Jardim";112125054;114342892,3;124228781,5;126539992,1
"73";"Sumidouro";51105115,6;57619023,8;55798100;64345498,55
"74";"Teresópolis";381876661,8;380664505,1;406247715,3;459307139,7
"75";"Três Rios";225007999,68;234285823,3;243799597,3;271217308,25
"76";"Valença";144432177,3;157406487,7;165479142,2;200385255,52
"77";"Varre-Sai";37292415,7;39597354,9;43163646,72;47551869,47
"78";"Volta Redonda";749406900;777296270,4;792540080,87;859984273,7
"79";"Laje do Muriaé";34079903,9;35848021,2;37179974,8;38888228,69
"80";"Trajano de Morais";44786302,6;43104033,8;45674231,5;57741528,51
"81";"Piraí";158512912;165632692,7;163776615,2;180508357,16
"82";"Natividade";52829047,1;57850618,3;56952203,5;64042574,01
"83";"Duas Barras";43646541,8;44146900;47009790,8;49490956,95
"84";"Carmo";56783809,1;57418709,9;60759400,68;75459814
"85";"Cordeiro";53499366;59169404,3;58353135,1;69440911,9
"86";"Vassouras";109679923,9;103389968,1;121074085,8;153445684,43
"87";"Quatis";50150177,5;51772851,5;55163133,6;60646407,03
"88";"Miracema";74237163,1;84212396,1;74718346,7;88507931,64
"89";"Porto Real";168746451,9;143670489,4;130376228,4;150652725,1
"90";"Itatiaia";141676773,4;149018935,1;167367295,1;204875447,03
"91";"Tanguá";79966519,3;88342457;85882045,2;97974955,03
"92";"Santo Antônio de Pádua";106987522,5;109078049,7;106158123,5;112199666,77
"93";"Seropédica";206711500;193313400;204357414,2;229943740
